"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"1",12,12,0,0,0,0,0,0,0,0,0,0,49,49,0,49,49,0,50,50,0,11,11,0,11,11,0,11,11,0,13,13,0,0,0,0,11,11,0,64,63,1
"2",13,13,0,26,24,2,30,27,3,13,10,3,41,40,1,42,41,1,39,38,1,13,13,0,6,6,0,6,6,0,13,13,0,53,48,5,6,6,0,52,51,1
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4
"4",9,9,0,16,16,0,14,14,0,12,12,0,12,12,0,14,14,0,22,22,0,5,5,0,5,5,0,5,5,0,4,4,0,0,0,0,5,5,0,39,37,2
"5",14,13,1,24,22,2,25,23,2,1,1,0,24,22,2,24,22,2,24,22,2,14,13,1,14,13,1,14,13,1,11,11,0,0,0,0,14,13,1,37,33,4
"6",6,5,1,16,15,1,23,22,1,27,27,0,33,33,0,32,32,0,28,28,0,4,4,0,1,1,0,1,1,0,5,5,0,20,20,0,1,1,0,46,44,2
"7",3,3,0,5,4,1,5,4,1,0,0,0,25,24,1,24,24,0,23,23,0,5,4,1,4,4,0,4,4,0,3,3,0,0,0,0,4,4,0,34,33,1
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",4,4,0,13,13,0,14,14,0,0,0,0,14,14,0,17,17,0,18,18,0,4,4,0,3,3,0,3,3,0,4,4,0,0,0,0,3,3,0,35,29,6
"10",15,15,0,3,3,0,0,0,0,0,0,0,33,32,1,32,31,1,32,31,1,14,14,0,9,9,0,9,9,0,14,14,0,0,0,0,14,14,0,57,50,7
