"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"1",40,38,2,54,52,2,56,54,2,0,0,0,56,51,5,55,50,5,56,51,5,36,35,1,36,35,1,36,35,1,41,39,2,45,43,2,38,37,1,78,74,4
"2",40,39,1,55,53,2,53,52,1,0,0,0,71,70,1,69,69,0,66,66,0,39,38,1,39,38,1,39,38,1,37,37,0,54,53,1,39,38,1,82,79,3
"3",42,39,3,53,50,3,58,54,4,0,0,0,61,60,1,61,60,1,59,58,1,44,39,5,44,39,5,44,39,5,41,38,3,44,44,0,44,39,5,81,79,2
"4",51,50,1,53,52,1,54,52,2,34,34,0,62,61,1,62,61,1,0,0,0,48,47,1,48,47,1,48,47,1,48,47,1,33,33,0,49,48,1,68,63,5
"5",54,53,1,69,66,3,67,64,3,53,51,2,60,56,4,61,57,4,50,47,3,54,53,1,54,53,1,54,53,1,54,53,1,61,54,7,54,53,1,73,65,8
"6",52,50,2,43,42,1,34,34,0,0,0,0,68,65,3,70,67,3,60,57,3,53,51,2,53,51,2,53,51,2,49,47,2,29,28,1,53,51,2,87,78,9
"7",50,48,2,45,43,2,42,39,3,0,0,0,78,74,4,79,76,3,70,67,3,52,50,2,52,50,2,52,50,2,51,49,2,56,53,3,52,50,2,88,80,8
"8",51,50,1,41,40,1,31,31,0,26,25,1,70,65,5,69,64,5,56,51,5,51,50,1,51,50,1,51,50,1,48,47,1,25,25,0,51,50,1,67,64,3
"9",52,51,1,54,53,1,48,47,1,0,0,0,65,63,2,68,66,2,62,61,1,49,48,1,49,48,1,49,48,1,47,46,1,66,61,5,49,48,1,80,72,8
"10",39,38,1,57,51,6,58,52,6,1,1,0,66,65,1,65,65,0,45,45,0,39,38,1,39,38,1,39,38,1,49,46,3,42,41,1,40,38,2,65,65,0
"11",44,42,2,44,44,0,40,40,0,39,37,2,61,58,3,62,59,3,33,30,3,44,42,2,44,42,2,44,42,2,44,42,2,36,35,1,44,42,2,65,60,5
"12",37,37,0,46,44,2,45,43,2,24,22,2,63,63,0,64,64,0,61,61,0,37,37,0,37,37,0,37,37,0,43,43,0,43,42,1,37,37,0,70,67,3
"13",33,33,0,5,5,0,1,1,0,0,0,0,65,64,1,63,63,0,52,52,0,32,32,0,31,31,0,30,30,0,31,31,0,0,0,0,30,30,0,74,74,0
"14",42,41,1,61,58,3,63,60,3,71,69,2,66,62,4,68,64,4,71,67,4,42,41,1,42,41,1,42,41,1,42,41,1,61,59,2,42,41,1,72,70,2
"15",43,43,0,48,46,2,49,45,4,25,23,2,57,53,4,55,51,4,21,19,2,42,42,0,42,42,0,42,42,0,40,40,0,21,20,1,44,44,0,69,62,7
"16",39,38,1,57,56,1,59,57,2,0,0,0,70,67,3,69,67,2,45,44,1,41,39,2,41,39,2,41,39,2,37,36,1,46,44,2,41,39,2,72,70,2
"17",37,35,2,27,25,2,12,11,1,0,0,0,47,43,4,47,43,4,19,18,1,35,33,2,35,33,2,35,33,2,36,33,3,32,31,1,35,33,2,69,64,5
"18",42,42,0,59,55,4,57,55,2,47,46,1,75,73,2,74,72,2,56,55,1,44,43,1,44,43,1,44,43,1,44,43,1,32,31,1,44,43,1,82,75,7
