"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"1",41,38,3,54,52,2,58,55,3,1,1,0,66,64,2,68,66,2,54,54,0,38,35,3,33,32,1,33,32,1,38,35,3,41,40,1,251,32,219,77,76,1
"2",39,38,1,57,56,1,61,60,1,62,61,1,66,62,4,68,64,4,70,66,4,36,35,1,29,28,1,29,28,1,38,37,1,71,69,2,30,29,1,77,73,4
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",29,26,3,46,43,3,45,43,2,42,39,3,39,37,2,43,41,2,40,39,1,33,29,4,32,29,3,32,29,3,32,29,3,33,29,4,32,29,3,49,46,3
"5",46,45,1,45,43,2,36,36,0,0,0,0,42,42,0,43,43,0,25,25,0,46,45,1,46,45,1,46,45,1,45,44,1,20,20,0,46,45,1,56,56,0
"6",32,31,1,2,2,0,0,0,0,0,0,0,40,40,0,40,40,0,33,33,0,31,30,1,30,29,1,30,29,1,29,29,0,33,33,0,30,29,1,50,48,2
"7",16,16,0,0,0,0,0,0,0,0,0,0,34,34,0,34,34,0,33,33,0,16,16,0,15,15,0,15,15,0,16,16,0,0,0,0,15,15,0,37,37,0
"8",0,0,0,4,4,0,0,0,0,0,0,0,13,13,0,11,11,0,8,8,0,3,3,0,4,4,0,4,4,0,4,4,0,0,0,0,4,4,0,17,16,1
"9",30,29,1,42,42,0,46,45,1,41,41,0,48,46,2,46,46,0,45,45,0,28,28,0,27,27,0,27,27,0,27,27,0,41,40,1,27,27,0,49,49,0
"10",41,41,0,51,48,3,53,51,2,46,45,1,57,56,1,56,56,0,53,53,0,41,41,0,41,41,0,41,41,0,41,41,0,44,43,1,344,43,301,71,69,2
"11",10,10,0,13,13,0,4,4,0,0,0,0,25,25,0,26,25,1,21,20,1,9,9,0,17,17,0,17,17,0,21,19,2,0,0,0,20,19,1,48,42,6
"12",0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,34,29,5
"13",43,43,0,51,51,0,58,57,1,1,1,0,53,52,1,58,57,1,55,54,1,39,39,0,38,38,0,38,38,0,44,44,0,67,63,4,38,38,0,77,74,3
"14",30,28,2,38,38,0,30,30,0,10,10,0,59,58,1,63,62,1,66,65,1,32,30,2,31,31,0,31,31,0,33,32,1,44,44,0,31,31,0,75,72,3
"15",31,30,1,29,28,1,29,27,2,16,15,1,42,42,0,45,45,0,40,40,0,31,30,1,30,30,0,30,30,0,31,31,0,26,26,0,30,30,0,63,58,5
"16",0,0,0,0,0,0,0,0,0,0,0,0,13,12,1,13,12,1,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,40,37,3,0,0,0,51,47,4
"17",28,26,2,16,16,0,10,10,0,2,2,0,35,33,2,34,32,2,24,23,1,28,27,1,25,25,0,25,25,0,25,25,0,0,0,0,25,25,0,43,41,2
"18",23,23,0,27,27,0,28,27,1,0,0,0,28,27,1,28,27,1,28,27,1,21,20,1,18,18,0,18,18,0,19,19,0,25,24,1,18,18,0,33,32,1
"19",41,40,1,55,53,2,54,52,2,41,38,3,50,49,1,58,57,1,54,53,1,40,39,1,33,33,0,33,33,0,40,39,1,24,23,1,34,33,1,78,76,2
"20",23,23,0,43,43,0,36,36,0,17,17,0,42,41,1,49,48,1,49,48,1,25,25,0,20,20,0,20,20,0,25,25,0,45,44,1,20,20,0,90,77,13
"21",43,42,1,51,49,2,50,48,2,32,31,1,64,62,2,65,63,2,63,61,2,41,40,1,36,36,0,36,36,0,41,40,1,41,37,4,36,36,0,85,80,5
"22",41,41,0,54,53,1,55,53,2,38,35,3,65,64,1,65,64,1,64,63,1,40,40,0,33,33,0,33,33,0,42,41,1,43,42,1,33,33,0,82,79,3
"23",9,9,0,17,16,1,15,13,2,3,3,0,21,21,0,21,21,0,21,21,0,9,9,0,8,8,0,8,8,0,8,8,0,0,0,0,8,8,0,19,19,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,1,0,1,39,36,3,43,39,4,41,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,67,23
"26",27,27,0,37,35,2,35,33,2,13,12,1,49,48,1,48,48,0,39,39,0,28,27,1,26,25,1,26,25,1,30,30,0,41,40,1,26,25,1,69,63,6
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,43,2
"28",36,36,0,45,44,1,44,43,1,39,39,0,47,47,0,46,46,0,23,23,0,36,36,0,35,35,0,35,35,0,35,35,0,37,37,0,94,35,59,54,54,0
"29",35,35,0,46,45,1,48,47,1,24,23,1,60,56,4,63,60,3,61,59,2,33,33,0,31,31,0,30,30,0,35,35,0,42,42,0,30,30,0,83,75,8
"30",0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"31",26,24,2,27,27,0,32,32,0,37,37,0,27,27,0,28,28,0,28,28,0,25,23,2,22,21,1,22,21,1,28,26,2,29,29,0,22,21,1,50,46,4
"32",25,25,0,17,17,0,12,12,0,1,1,0,48,45,3,49,46,3,46,44,2,29,29,0,22,22,0,22,22,0,24,24,0,45,42,3,22,22,0,65,62,3
"33",50,46,4,62,58,4,66,62,4,0,0,0,39,38,1,44,42,2,47,44,3,43,41,2,33,32,1,33,32,1,52,48,4,60,59,1,99,32,67,77,68,9
"34",14,13,1,29,28,1,11,11,0,0,0,0,38,38,0,39,39,0,25,25,0,16,15,1,9,9,0,9,9,0,16,16,0,0,0,0,9,9,0,72,62,10
"35",4,4,0,0,0,0,0,0,0,0,0,0,16,16,0,24,24,0,23,23,0,7,7,0,3,3,0,3,3,0,13,12,1,0,0,0,3,3,0,61,55,6
"36",57,57,0,64,61,3,65,61,4,0,0,0,59,58,1,58,57,1,54,53,1,57,57,0,53,53,0,53,53,0,56,56,0,60,57,3,53,53,0,69,67,2
"37",14,14,0,22,22,0,24,23,1,0,0,0,47,47,0,48,48,0,33,33,0,15,15,0,12,12,0,12,12,0,15,15,0,26,26,0,12,12,0,59,59,0
"38",6,6,0,8,7,1,4,3,1,1,0,1,19,19,0,23,23,0,20,20,0,7,6,1,7,6,1,7,6,1,7,6,1,0,0,0,7,6,1,33,28,5
"39",49,46,3,75,70,5,76,72,4,65,64,1,61,61,0,63,63,0,70,70,0,49,46,3,44,42,2,44,42,2,51,50,1,70,70,0,44,42,2,97,86,11
