"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.092,0.078,0.014,0.0110666666666667
"WABH MMW mean_pm adapt pm",0.17,0.116,0.054,0.0168571428571429
"WABH MMW 0.5 adapt pm",0.242,0.204,0.038,0.0302571428571429
"WABH MMW 0.9 adapt pm",0.23,0.172,0.058,0.0489
"WABH MMW mean_pm camt pm",0.522,0.468,0.054,0.0305333333333333
"WABH MMW 0.5 camt pm",0.54,0.486,0.054,0.0353333333333333
"WABH MMW 0.9 camt pm",0.668,0.594,0.074,0.0530246031746032
"Ten Rule",0.086,0.066,0.02,0.0160666666666667
"Adaptive BH",0.092,0.04,0.052,0.0106666666666667
"Regular BH",0.092,0.04,0.052,0.0106666666666667
"IHW",0.098,0.046,0.052,0.0106666666666667
"ADAPT",0.272,0.202,0.07,0.00297635697635698
"SWFDR",7.162,0.084,7.078,0.119859596929652
"CAMT",5.812,3.93,1.882,0.203362804730859
