"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.44,0.42,0.02,0.0103
"WABH MMW mean_pm adapt pm",1.258,1.206,0.052,0.0158835847159377
"WABH MMW 0.5 adapt pm",1.886,1.826,0.06,0.0200038065426146
"WABH MMW 0.9 adapt pm",1.49,1.426,0.064,0.0306553835053835
"WABH MMW mean_pm camt pm",2.994,2.904,0.09,0.0193397639238156
"WABH MMW 0.5 camt pm",3.346,3.268,0.078,0.0196968626257673
"WABH MMW 0.9 camt pm",4.818,4.716,0.102,0.0198812021646096
"Ten Rule",0.384,0.366,0.018,0.0088
"Adaptive BH",0.274,0.208,0.066,0.0164666666666667
"Regular BH",0.274,0.208,0.066,0.0164666666666667
"IHW",0.348,0.28,0.068,0.0160666666666667
"ADAPT",4.212,3.996,0.216,0.00568256406026288
"SWFDR",23.262,1.306,21.956,0.207893656864382
"CAMT",41.442,38.094,3.348,0.0824958438249049
