"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",82.444,80.778,1.666,0.0193093946709658
"WABH MMW mean_pm adapt pm",120.96,118.132,2.828,0.0235847289133642
"WABH MMW 0.5 adapt pm",118.494,115.848,2.646,0.0235350540455772
"WABH MMW 0.9 adapt pm",52.004,51.112,0.892,0.0251776322329829
"WABH MMW mean_pm camt pm",129.582,126.422,3.16,0.0245075221510102
"WABH MMW 0.5 camt pm",130.476,127.496,2.98,0.0231616651667172
"WABH MMW 0.9 camt pm",120.71,118.332,2.378,0.019580433077047
"Ten Rule",80.278,78.672,1.606,0.0190818543393045
"Adaptive BH",73.866,72.576,1.29,0.0163603975081784
"Regular BH",73.158,71.92,1.238,0.0158667582758301
"IHW",84.102,82.532,1.57,0.0181709444837055
"ADAPT",98.356,95.652,2.704,0.0238613935308807
"SWFDR",75.516,72.214,3.302,0.0357794341086716
"CAMT",197.206,190.194,7.012,0.0352261586217492
