"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",207.562,203.152,4.41,0.0213162271873931
"WABH MMW mean_pm adapt pm",247.014,241,6.014,0.0243123216877155
"WABH MMW 0.5 adapt pm",240.924,235.264,5.66,0.0235420118903292
"WABH MMW 0.9 adapt pm",139.81,137.068,2.742,0.0210148401535721
"WABH MMW mean_pm camt pm",232.868,226.456,6.412,0.0276678337077865
"WABH MMW 0.5 camt pm",228.572,222.608,5.964,0.0262751523229233
"WABH MMW 0.9 camt pm",178.774,174.864,3.91,0.0214793238286749
"Ten Rule",207.142,202.828,4.314,0.0208177015801535
"Adaptive BH",205.208,201.258,3.95,0.0191619869892953
"Regular BH",204.278,200.46,3.818,0.0186241271959749
"IHW",210.602,206.682,3.92,0.0185451670550079
"ADAPT",200.544,195.964,4.58,0.0224252388796294
"SWFDR",207.802,200.646,7.156,0.0315242198445793
"CAMT",277.514,268.648,8.866,0.031755504498595
