"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"1",3,3,0,2,2,0,0,0,0,0,0,0,13,13,0,12,12,0,14,14,0,2,2,0,2,2,0,2,2,0,5,5,0,0,0,0,2,2,0,39,34,5,31,31,0
"2",6,6,0,0,0,0,0,0,0,0,0,0,7,7,0,6,6,0,4,4,0,7,7,0,3,1,2,3,1,2,9,7,2,0,0,0,3,1,2,34,29,5,20,16,4
"3",3,3,0,0,0,0,0,0,0,0,0,0,29,28,1,29,29,0,30,30,0,3,3,0,3,3,0,3,3,0,3,3,0,0,0,0,3,3,0,44,43,1,35,30,5
"4",8,8,0,2,2,0,2,2,0,0,0,0,23,22,1,22,21,1,16,16,0,5,5,0,5,5,0,5,5,0,6,6,0,0,0,0,5,5,0,43,39,4,34,33,1
"5",11,11,0,7,7,0,2,2,0,0,0,0,6,6,0,7,7,0,5,5,0,11,11,0,9,9,0,9,9,0,9,9,0,0,0,0,9,9,0,25,18,7,27,26,1
"6",25,24,1,27,26,1,30,29,1,17,15,2,23,23,0,24,24,0,27,26,1,24,23,1,9,9,0,9,9,0,22,21,1,0,0,0,9,9,0,32,29,3,40,38,2
"7",30,29,1,6,6,0,4,3,1,0,0,0,33,32,1,45,44,1,56,53,3,26,26,0,21,21,0,21,21,0,20,19,1,0,0,0,21,21,0,69,63,6,70,66,4
"8",29,28,1,2,2,0,0,0,0,0,0,0,45,44,1,45,44,1,45,45,0,30,29,1,17,17,0,17,17,0,25,24,1,0,0,0,17,17,0,57,52,5,58,54,4
"9",8,8,0,3,3,0,3,3,0,0,0,0,18,17,1,21,20,1,18,17,1,8,8,0,7,7,0,7,7,0,8,8,0,0,0,0,362,7,355,34,33,1,34,33,1
"10",13,13,0,11,11,0,11,11,0,0,0,0,28,26,2,33,30,3,24,24,0,12,12,0,4,4,0,4,4,0,8,8,0,0,0,0,68,5,63,47,39,8,21,21,0
"11",0,0,0,7,7,0,4,4,0,0,0,0,25,23,2,32,29,3,30,29,1,0,0,0,0,0,0,0,0,0,0,0,0,40,37,3,0,0,0,82,70,12,21,20,1
"12",15,14,1,7,6,1,6,5,1,0,0,0,16,16,0,18,18,0,28,28,0,14,13,1,8,8,0,8,8,0,15,14,1,0,0,0,8,8,0,41,40,1,41,39,2
"13",6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,8,7,1,19,19,0
"14",18,18,0,5,5,0,4,4,0,0,0,0,6,6,0,17,17,0,15,15,0,18,18,0,1,1,0,1,1,0,17,17,0,0,0,0,1,1,0,44,41,3,41,39,2
"15",0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,13,13,0,15,15,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,32,31,1,48,45,3
"16",25,25,0,40,39,1,37,35,2,16,13,3,23,23,0,27,27,0,49,48,1,25,24,1,13,13,0,13,13,0,22,22,0,20,20,0,13,13,0,69,60,9,55,52,3
"17",8,8,0,2,2,0,1,1,0,0,0,0,6,4,2,6,4,2,3,2,1,8,8,0,6,6,0,6,6,0,7,7,0,0,0,0,6,6,0,29,26,3,16,15,1
"18",0,0,0,1,1,0,1,1,0,2,2,0,2,2,0,8,8,0,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,37,1,25,24,1
"19",8,8,0,11,11,0,11,11,0,1,1,0,50,47,3,49,46,3,45,43,2,10,10,0,2,2,0,2,2,0,8,8,0,27,24,3,2,2,0,71,60,11,46,43,3
"20",10,10,0,21,21,0,18,17,1,7,5,2,31,31,0,31,31,0,38,36,2,11,11,0,9,9,0,9,9,0,15,15,0,33,33,0,9,9,0,47,43,4,42,41,1
"21",9,8,1,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,1,1,0,1,1,0,9,8,1,0,0,0,76,1,75,7,5,2,11,10,1
"22",46,45,1,52,50,2,47,46,1,31,31,0,42,40,2,44,42,2,43,41,2,45,44,1,32,32,0,32,32,0,53,50,3,51,50,1,32,32,0,58,55,3,67,65,2
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,5,0,0,0
