"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"1",0,0,0,6,6,0,12,11,1,3,3,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,9,8,1
"2",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,16,14,2,26,26,0,1,1,0,7,5,2,5,4,1
"3",0,0,0,14,14,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0
"4",3,2,1,1,1,0,2,2,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,22,17,5,4,3,1
"5",27,27,0,25,24,1,21,20,1,0,0,0,7,7,0,13,13,0,13,13,0,20,20,0,21,21,0,20,20,0,13,13,0,0,0,0,20,20,0,41,41,0,40,39,1
"6",51,51,0,24,24,0,15,15,0,2,2,0,15,15,0,0,0,0,2,2,0,35,35,0,44,44,0,35,35,0,44,44,0,21,19,2,40,40,0,71,66,5,62,61,1
"7",65,62,3,33,30,3,34,29,5,0,0,0,66,62,4,72,68,4,45,45,0,61,58,3,61,58,3,61,58,3,73,70,3,0,0,0,61,58,3,93,90,3,85,83,2
"8",5,5,0,6,6,0,9,7,2,2,2,0,3,3,0,2,2,0,0,0,0,5,5,0,5,5,0,5,5,0,8,8,0,0,0,0,5,5,0,31,29,2,7,7,0
"9",13,12,1,9,8,1,9,8,1,4,4,0,9,8,1,9,8,1,11,11,0,13,12,1,13,12,1,13,12,1,13,12,1,0,0,0,13,12,1,8,8,0,5,5,0
"10",77,77,0,93,93,0,84,83,1,31,30,1,87,87,0,92,92,0,43,43,0,69,69,0,72,72,0,69,69,0,79,79,0,0,0,0,69,69,0,82,82,0,91,91,0
