"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",9.368,9.104,0.264,0.0224374725184853
"WABH MMW mean_pm adapt pm",4.854,4.69,0.164,0.0238193631974881
"WABH MMW 0.5 adapt pm",3.87,3.708,0.162,0.0309954657224142
"WABH MMW 0.9 adapt pm",1.366,1.24,0.126,0.0550594017094017
"WABH MMW mean_pm camt pm",2.842,2.736,0.106,0.0103838466551027
"WABH MMW 0.5 camt pm",2.866,2.728,0.138,0.0148616356731225
"WABH MMW 0.9 camt pm",1.238,1.14,0.098,0.0275178090025916
"Ten Rule",8.826,8.608,0.218,0.0176356655334953
"Adaptive BH",5.55,5.454,0.096,0.00984716618193331
"Regular BH",5.548,5.452,0.096,0.00984716618193331
"IHW",7.974,7.778,0.196,0.017418537876875
"ADAPT",0.048,0.044,0.004,0.000166666666666667
"SWFDR",17.956,5.62,12.336,0.110132882955179
"CAMT",14.05,11.792,2.258,0.155538185126095
"LAWS",13.386,12.752,0.634,0.0368519542178465
