"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.074,0.064,0.01,0.01
"WABH MMW mean_pm adapt pm",0.102,0.08,0.022,0.0173333333333333
"WABH MMW 0.5 adapt pm",0.132,0.1,0.032,0.0243333333333333
"WABH MMW 0.9 adapt pm",0.162,0.122,0.04,0.0313333333333333
"WABH MMW mean_pm camt pm",0.508,0.462,0.046,0.0232107142857143
"WABH MMW 0.5 camt pm",0.516,0.47,0.046,0.0239205128205128
"WABH MMW 0.9 camt pm",0.656,0.606,0.05,0.0242600732600733
"Ten Rule",0.058,0.05,0.008,0.008
"Adaptive BH",0.05,0.044,0.006,0.006
"Regular BH",0.05,0.044,0.006,0.006
"IHW",0.048,0.04,0.008,0.007
"ADAPT",0.048,0.042,0.006,0.00025
"SWFDR",1.51,0.076,1.434,0.0747026111791106
"CAMT",18.092,15.022,3.07,0.176258418985714
"LAWS",0.512,0.456,0.056,0.0218357864357864
