"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",0.09,0.074,0.016,0.0126666666666667
"WABH MMW mean_pm adapt pm",0.142,0.132,0.01,0.007
"WABH MMW 0.5 adapt pm",0.25,0.228,0.022,0.019
"WABH MMW 0.9 adapt pm",0.39,0.35,0.04,0.0361111111111111
"WABH MMW mean_pm camt pm",0.456,0.434,0.022,0.0135555555555556
"WABH MMW 0.5 camt pm",0.59,0.558,0.032,0.0167388888888889
"WABH MMW 0.9 camt pm",0.982,0.934,0.048,0.0219676046176046
"Ten Rule",0.058,0.052,0.006,0.005
"Adaptive BH",0.036,0.026,0.01,0.006
"Regular BH",0.034,0.024,0.01,0.006
"IHW",0.032,0.024,0.008,0.007
"ADAPT",1.594,1.528,0.066,0.00214675370594378
"SWFDR",13.114,0.66,12.454,0.130510512503382
"CAMT",29.204,26.18,3.024,0.104415509902142
"LAWS",1.228,0.944,0.284,0.0890377344877345
