"","Total Rej","Correct Rej","False Rej","FDR"
"WABH MMW constant pm",135.576,132.776,2.8,0.0197723983482725
"WABH MMW mean_pm adapt pm",115.146,112.014,3.132,0.0256284156880903
"WABH MMW 0.5 adapt pm",101.738,98.91,2.828,0.0267353360513601
"WABH MMW 0.9 adapt pm",36.3,35.062,1.238,0.0327751145026309
"WABH MMW mean_pm camt pm",83.758,81.53,2.228,0.0193217453202496
"WABH MMW 0.5 camt pm",83.14,80.776,2.364,0.0209530561632418
"WABH MMW 0.9 camt pm",35.78,34.648,1.132,0.0201578002102143
"Ten Rule",130.836,128.188,2.648,0.0193742233371034
"Adaptive BH",119.25,117.116,2.134,0.0164833729545175
"Regular BH",116.672,114.67,2.002,0.0157648474641168
"IHW",125.778,123.472,2.306,0.0174417820603637
"ADAPT",62.586,61.364,1.222,0.0143156456962832
"SWFDR",119.72,114.734,4.986,0.0320691288177235
"CAMT",128.488,124.64,3.848,0.0303186949043915
"LAWS",131.096,127.582,3.514,0.0253723314497917
