"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",0,0,0,0,0,0,4,4,0
"2",0,0,0,24,23,1,61,59,2
"3",0,0,0,0,0,0,4,4,0
"4",0,0,0,0,0,0,2,2,0
"5",3,3,0,0,0,0,10,10,0
"6",0,0,0,0,0,0,34,33,1
"7",0,0,0,0,0,0,4,4,0
"8",0,0,0,0,0,0,8,8,0
"9",0,0,0,0,0,0,25,25,0
"10",8,8,0,26,26,0,27,27,0
"11",0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,3,3,0
"13",0,0,0,0,0,0,43,43,0
"14",0,0,0,0,0,0,21,20,1
"15",0,0,0,0,0,0,30,29,1
"16",0,0,0,0,0,0,4,4,0
"17",0,0,0,0,0,0,18,18,0
"18",0,0,0,0,0,0,0,0,0
"19",0,0,0,17,17,0,23,22,1
"20",0,0,0,0,0,0,3,3,0
"21",0,0,0,4,4,0,25,24,1
"22",0,0,0,1,1,0,20,20,0
"23",0,0,0,0,0,0,21,21,0
"24",0,0,0,0,0,0,1,1,0
"25",0,0,0,0,0,0,23,23,0
"26",0,0,0,8,8,0,14,14,0
"27",0,0,0,0,0,0,2,2,0
"28",0,0,0,11,11,0,42,41,1
"29",0,0,0,0,0,0,49,48,1
"30",0,0,0,0,0,0,4,4,0
"31",0,0,0,0,0,0,4,4,0
"32",0,0,0,0,0,0,9,9,0
"33",0,0,0,0,0,0,57,54,3
"34",0,0,0,0,0,0,12,12,0
"35",0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,18,18,0
"37",0,0,0,0,0,0,26,25,1
"38",0,0,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,42,41,1
"40",0,0,0,0,0,0,44,44,0
"41",0,0,0,0,0,0,12,12,0
"42",3,3,0,1,1,0,18,17,1
"43",1,1,0,0,0,0,2,2,0
"44",0,0,0,0,0,0,0,0,0
"45",0,0,0,0,0,0,28,28,0
"46",0,0,0,1,1,0,31,30,1
"47",0,0,0,0,0,0,18,18,0
"48",0,0,0,0,0,0,8,8,0
"49",0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,17,17,0
"51",0,0,0,0,0,0,20,20,0
"52",0,0,0,0,0,0,49,49,0
"53",0,0,0,0,0,0,20,20,0
"54",0,0,0,0,0,0,33,33,0
"55",2,2,0,0,0,0,51,51,0
"56",0,0,0,16,16,0,30,30,0
"57",0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,1,1,0
"59",0,0,0,0,0,0,3,2,1
"60",0,0,0,0,0,0,28,28,0
"61",0,0,0,7,5,2,25,24,1
"62",0,0,0,0,0,0,0,0,0
"63",0,0,0,0,0,0,24,24,0
"64",0,0,0,0,0,0,2,2,0
"65",0,0,0,0,0,0,3,3,0
