"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",1,1,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,1,1,0
"3",0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0
"5",3,2,1,0,0,0,0,0,0
"6",3,3,0,0,0,0,0,0,0
"7",2,2,0,0,0,0,8,7,1
"8",1,1,0,0,0,0,4,4,0
"9",4,4,0,0,0,0,0,0,0
"10",9,8,1,0,0,0,9,8,1
"11",0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0
"13",0,0,0,0,0,0,2,2,0
"14",0,0,0,0,0,0,0,0,0
"15",6,6,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,2,2,0
"18",6,6,0,0,0,0,0,0,0
"19",2,2,0,0,0,0,6,6,0
"20",7,6,1,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0
"22",3,3,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,0
"24",2,2,0,0,0,0,0,0,0
"25",6,6,0,0,0,0,0,0,0
"26",2,2,0,0,0,0,0,0,0
"27",4,4,0,0,0,0,0,0,0
"28",2,2,0,0,0,0,14,14,0
"29",0,0,0,0,0,0,6,6,0
"30",1,1,0,0,0,0,0,0,0
"31",1,1,0,0,0,0,4,4,0
"32",0,0,0,0,0,0,1,1,0
"33",0,0,0,0,0,0,0,0,0
"34",3,3,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0,0,0
"37",5,5,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0
"39",1,1,0,0,0,0,0,0,0
"40",2,1,1,0,0,0,0,0,0
"41",3,3,0,0,0,0,0,0,0
"42",3,3,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0
"44",0,0,0,0,0,0,1,1,0
"45",1,1,0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0,0,0
"47",1,1,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0,0,0
"51",6,4,2,0,0,0,2,2,0
"52",1,1,0,0,0,0,0,0,0
"53",3,3,0,0,0,0,0,0,0
"54",1,1,0,0,0,0,0,0,0
"55",3,3,0,0,0,0,0,0,0
"56",1,1,0,0,0,0,0,0,0
"57",2,2,0,0,0,0,1,1,0
