"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",1,1,0,0,0,0,0,0,0
"2",13,11,2,0,0,0,1,1,0
"3",0,0,0,0,0,0,2,2,0
"4",0,0,0,0,0,0,25,24,1
"5",0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,1,1,0
"7",50,49,1,0,0,0,0,0,0
"8",2,2,0,0,0,0,0,0,0
"9",5,5,0,0,0,0,18,17,1
"10",7,7,0,0,0,0,0,0,0
"11",1,1,0,0,0,0,2,2,0
"12",0,0,0,2,2,0,6,5,1
"13",1,1,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0
"15",217,148,69,2,2,0,4,4,0
"16",2,2,0,0,0,0,10,10,0
"17",3,3,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0
"19",0,0,0,0,0,0,9,9,0
"20",6,6,0,0,0,0,0,0,0
"21",1,1,0,1,1,0,0,0,0
"22",0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,4,2,2
"24",3,3,0,0,0,0,2,2,0
"25",0,0,0,0,0,0,11,11,0
"26",0,0,0,0,0,0,6,6,0
"27",4,4,0,0,0,0,4,4,0
"28",0,0,0,0,0,0,0,0,0
"29",1,1,0,0,0,0,1,1,0
"30",0,0,0,0,0,0,0,0,0
"31",1,1,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,3,3,0
"33",2,2,0,0,0,0,0,0,0
"34",2,2,0,0,0,0,4,3,1
"35",3,3,0,0,0,0,0,0,0
"36",1,1,0,0,0,0,19,17,2
"37",0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,1,1,0
"39",0,0,0,0,0,0,2,2,0
"40",0,0,0,0,0,0,8,8,0
"41",2,2,0,0,0,0,1,1,0
"42",0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0
"44",1,1,0,0,0,0,4,4,0
"45",0,0,0,0,0,0,1,1,0
"46",0,0,0,0,0,0,0,0,0
"47",1,1,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0,0,0
"49",2,2,0,0,0,0,0,0,0
"50",2,2,0,0,0,0,4,4,0
"51",10,10,0,0,0,0,3,3,0
"52",0,0,0,0,0,0,4,4,0
"53",0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0
"57",1,1,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0
"59",2,2,0,0,0,0,5,5,0
"60",0,0,0,0,0,0,25,24,1
"61",11,10,1,0,0,0,0,0,0
"62",1,1,0,0,0,0,1,1,0
"63",0,0,0,0,0,0,0,0,0
"64",0,0,0,0,0,0,8,8,0
"65",0,0,0,0,0,0,0,0,0
