"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"1",0,0,0,0,0,0,43,43,0
"2",0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,9,9,0
"4",0,0,0,0,0,0,10,10,0
"5",0,0,0,0,0,0,12,12,0
"6",2,2,0,1,0,1,10,10,0
"7",0,0,0,0,0,0,6,6,0
"8",1,1,0,0,0,0,30,29,1
"9",1,1,0,0,0,0,25,25,0
"10",0,0,0,0,0,0,28,28,0
"11",0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,35,34,1
"13",0,0,0,0,0,0,30,29,1
"14",0,0,0,0,0,0,0,0,0
"15",2,2,0,1,1,0,5,4,1
"16",3,3,0,0,0,0,89,87,2
"17",0,0,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,2,2,0
"19",4,4,0,0,0,0,56,56,0
"20",9,8,1,7,6,1,6,6,0
"21",5,5,0,0,0,0,0,0,0
"22",2,2,0,2,2,0,28,28,0
"23",0,0,0,0,0,0,0,0,0
"24",0,0,0,1,0,1,44,43,1
"25",0,0,0,0,0,0,77,75,2
"26",0,0,0,2,2,0,21,21,0
"27",0,0,0,0,0,0,5,5,0
"28",0,0,0,0,0,0,59,59,0
"29",0,0,0,0,0,0,24,24,0
"30",0,0,0,0,0,0,32,31,1
"31",0,0,0,0,0,0,33,33,0
"32",0,0,0,0,0,0,25,24,1
"33",0,0,0,0,0,0,2,2,0
"34",5,5,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,9,9,0
"36",4,4,0,0,0,0,53,51,2
"37",1,1,0,0,0,0,0,0,0
"38",2,2,0,0,0,0,20,19,1
"39",0,0,0,0,0,0,2,2,0
"40",1,0,1,0,0,0,9,9,0
"41",0,0,0,0,0,0,29,27,2
"42",0,0,0,0,0,0,3,3,0
"43",0,0,0,0,0,0,3,3,0
"44",1,1,0,0,0,0,17,16,1
"45",0,0,0,0,0,0,5,5,0
"46",0,0,0,0,0,0,13,13,0
"47",0,0,0,0,0,0,1,1,0
"48",0,0,0,0,0,0,427,252,175
"49",3,3,0,0,0,0,60,58,2
"50",0,0,0,0,0,0,0,0,0
"51",8,6,2,0,0,0,45,43,2
"52",0,0,0,0,0,0,0,0,0
"53",0,0,0,0,0,0,12,11,1
"54",0,0,0,0,0,0,16,16,0
"55",0,0,0,0,0,0,17,17,0
"56",0,0,0,0,0,0,30,29,1
"57",1,1,0,1,1,0,29,28,1
"58",0,0,0,0,0,0,13,13,0
"59",4,4,0,0,0,0,5,5,0
"60",0,0,0,0,0,0,36,34,2
"61",1,1,0,0,0,0,4,4,0
"62",2,2,0,0,0,0,80,80,0
"63",0,0,0,0,0,0,20,20,0
"64",0,0,0,0,0,0,0,0,0
"65",0,0,0,0,0,0,30,29,1
"66",10,10,0,6,6,0,10,10,0
"67",0,0,0,0,0,0,2,2,0
"68",0,0,0,0,0,0,3,3,0
"69",0,0,0,0,0,0,19,19,0
"70",0,0,0,0,0,0,0,0,0
"71",2,1,1,0,0,0,4,4,0
"72",0,0,0,0,0,0,6,6,0
"73",0,0,0,0,0,0,1,1,0
"74",1,1,0,0,0,0,5,5,0
"75",6,6,0,0,0,0,9,9,0
"76",0,0,0,0,0,0,38,37,1
"77",3,3,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,39,38,1
"79",0,0,0,0,0,0,5,5,0
"80",0,0,0,0,0,0,24,24,0
"81",0,0,0,0,0,0,2,2,0
"82",0,0,0,0,0,0,0,0,0
"83",3,3,0,0,0,0,13,13,0
"84",0,0,0,0,0,0,44,41,3
"85",0,0,0,0,0,0,10,10,0
"86",0,0,0,0,0,0,63,61,2
"87",0,0,0,0,0,0,0,0,0
"88",1,1,0,0,0,0,15,15,0
"89",0,0,0,0,0,0,23,23,0
"90",3,3,0,0,0,0,18,16,2
"91",0,0,0,0,0,0,0,0,0
"92",2,2,0,0,0,0,28,28,0
"93",0,0,0,0,0,0,10,10,0
"94",0,0,0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0,0,0
"96",0,0,0,0,0,0,35,34,1
"97",3,3,0,0,0,0,28,28,0
"98",0,0,0,0,0,0,3,3,0
"99",9,8,1,0,0,0,13,13,0
"100",2,1,1,3,3,0,26,26,0
"101",0,0,0,0,0,0,22,21,1
"102",1,1,0,0,0,0,3,3,0
"103",0,0,0,0,0,0,12,12,0
"104",0,0,0,7,6,1,47,47,0
"105",0,0,0,0,0,0,29,29,0
"106",0,0,0,0,0,0,33,33,0
"107",4,4,0,0,0,0,10,10,0
"108",4,4,0,0,0,0,18,18,0
"109",1,1,0,0,0,0,3,3,0
"110",0,0,0,0,0,0,15,15,0
"111",2,2,0,0,0,0,31,27,4
"112",0,0,0,0,0,0,3,3,0
"113",0,0,0,0,0,0,2,2,0
"114",0,0,0,0,0,0,0,0,0
"115",0,0,0,0,0,0,7,6,1
"116",1,1,0,0,0,0,7,7,0
"117",3,3,0,0,0,0,53,49,4
"118",0,0,0,0,0,0,62,62,0
"119",0,0,0,0,0,0,1,1,0
"120",1,1,0,0,0,0,17,17,0
"121",0,0,0,0,0,0,89,86,3
"122",6,5,1,0,0,0,3,2,1
"123",1,1,0,0,0,0,56,54,2
"124",6,6,0,0,0,0,8,8,0
"125",0,0,0,0,0,0,0,0,0
"126",0,0,0,0,0,0,5,5,0
"127",0,0,0,0,0,0,0,0,0
"128",0,0,0,0,0,0,1,1,0
"129",5,5,0,0,0,0,0,0,0
"130",2,2,0,0,0,0,21,18,3
"131",0,0,0,0,0,0,19,18,1
"132",0,0,0,0,0,0,0,0,0
"133",0,0,0,0,0,0,56,56,0
"134",1,1,0,0,0,0,0,0,0
"135",0,0,0,0,0,0,21,21,0
"136",0,0,0,0,0,0,43,41,2
"137",0,0,0,0,0,0,46,44,2
"138",0,0,0,1,1,0,47,45,2
"139",0,0,0,0,0,0,0,0,0
"140",1,1,0,0,0,0,3,3,0
"141",0,0,0,4,4,0,64,62,2
"142",0,0,0,0,0,0,6,6,0
